AX	AY	BX	BY	CX	CY	DX	DY	EX	EY	FX	FY	GX	GY	HX	HY	IX	IY	JX	JY	KX	KY	LX	LY	MX	MY	NX	NY	OX	OY	PX	PY	QX	QY	RX	RY	SX	SY	TX	TY	UX	UY
108.1726502	8.731684549	106.7985418	9.447802954	105.0382716	10.45493694	102.8127469	12.02816408	100.0314892	14.32587681	96.55346203	18.04320878	92.14979537	23.88228543	86.02689927	32.94203937	74.61930768	48.25584443	57.49917013	80.55543451	40.51313472	129.8907137	31.41536597	167.8768359	27.63329618	190.9118854	25.61905726	205.9486419	24.31106749	216.75888	23.36481937	225.1110637	22.63162196	231.8812864	22.03803513	237.5431835	21.54251643	242.8950171	21.1196496	247.492672	20.75224069	251.4787797
113.7701063	8.767904421	112.454582	9.420759733	110.7813125	10.32811241	108.6809408	11.68775394	106.0731366	13.69234607	102.846351	16.75908023	98.82440041	21.56629149	93.67950703	29.06699194	84.72442122	40.87796553	69.68237639	63.51779644	50.31154993	109.4349858	36.63481533	156.2599184	30.55645703	186.4939552	27.76194753	205.209354	26.08223698	218.1310543	24.92174481	227.8007534	24.04985959	235.4707061	23.35782738	241.7965713	22.78812815	247.3914559	22.30720477	252.4890751	21.89261456	256.9038234
119.3680744	8.801796083	118.1059317	9.39927629	116.5106397	10.22077703	114.5215185	11.39937137	112.0668463	13.16313065	109.0554987	15.71229142	105.3488346	19.7353279	100.7039535	25.90752587	93.96028427	35.47386846	81.34640243	51.79081073	62.58383494	86.41963209	44.19400331	139.5231283	34.41135229	178.8435558	30.27035379	202.6499636	28.05216776	218.3481773	26.60401996	229.6896159	25.55489538	238.4568458	24.74263848	245.5592941	24.08509253	251.5005356	23.53616677	257.0645162	23.06764045	261.9360651
124.9671333	8.833387794	123.7526858	9.382117538	122.2286798	10.12913609	120.3389706	11.15289711	118.0201529	12.71627279	115.1962317	14.87995349	111.7543364	18.26076052	107.5104275	23.34493107	102.1024239	31.21559136	92.11089575	43.70198776	75.65350167	67.89185126	54.61158796	117.283312	39.93580123	166.5973323	33.34567403	197.74902	30.29312779	217.128671	28.44686788	230.6273132	27.16690742	240.7526958	26.20458028	248.7850407	25.44157747	255.4066015	24.81312247	261.1834636	24.28252051	266.5668844
130.5677307	8.862743765	129.3973496	9.368304306	127.9369725	10.05034308	126.1367148	10.96613454	123.9387898	12.3352663	121.2796898	14.23858476	118.0673567	17.05351418	114.1526756	21.30915776	109.293643	27.75993586	101.9001356	37.82221391	88.11566241	55.11373742	67.72755769	91.9811902	47.90858514	148.7816872	37.42359076	189.581426	32.91928122	214.1083276	30.50076719	230.4027056	28.91256549	242.2449759	27.75974368	251.4078328	26.86703474	258.8299832	26.14485205	265.0348525	25.54167548	270.785255
136.1699976	8.889936251	135.0392079	9.357090227	133.637614	9.982043656	131.9199179	10.81393787	129.8296775	12.00743836	127.3155794	13.69427852	124.3003836	16.05282274	120.6651493	19.66346632	116.2214383	24.98259178	110.535966	33.18820742	99.54064824	46.33160266	81.69512524	72.00323486	58.9867023	124.4877767	43.26585199	176.6682299	36.15108702	208.7614333	32.83802166	228.74059	30.82868183	242.7767066	29.42876723	253.336596	28.37526073	261.7152988	27.53988273	268.6198666	26.85170306	274.5587382
141.7715187	8.915026658	140.678895	9.347855623	139.3314347	9.922422667	137.6855643	10.68121037	135.6954541	11.72324423	133.3111262	13.22801573	130.4684273	15.25181846	127.0718062	18.31210399	122.971887	22.76621651	117.9195827	29.445218	109.8734109	39.99072686	94.96068569	58.20766297	72.96827424	97.19196757	51.68345171	157.5600949	40.46350857	200.0730571	35.58499632	225.3044345	32.96715089	242.1423498	31.2394919	254.4556921	29.9824491	263.9957213	29.00811289	271.7260108	28.2200161	278.1870742
147.3746964	8.938122754	146.3167647	9.340154994	145.0190443	9.870017284	143.4406524	10.56460907	141.5393433	11.47509392	139.2725654	12.82516596	136.5821074	14.61908292	133.3935638	17.18788703	129.5826165	20.96787348	124.9616455	26.48165464	118.9850585	35.0029139	107.0399843	48.76217784	87.84601813	75.81712736	63.47084477	131.0374322	46.64188882	186.427637	38.9806247	219.5305203	35.40393565	240.0820983	33.23017943	254.606684	31.71006438	265.5808441	30.56239632	274.2881422	29.65535631	281.4735861
152.9790827	8.962891014	151.953167	9.333610628	150.700537	9.823625191	149.1847927	10.46158182	147.3668343	11.28886789	145.2038487	12.47451202	142.6502855	14.07517135	139.6413467	16.24181159	136.0790253	19.48732113	131.8121517	24.10757472	126.585453	31.01989566	117.9059078	41.97854068	101.9129582	61.05497595	78.3458204	101.9988763	55.54582208	165.7529968	43.54247478	210.297665	38.27064001	236.2518997	35.45179935	253.5865346	33.58745555	266.3470099	32.22502585	276.2535333	31.16834713	284.2792652
158.5842887	8.987230168	157.5875747	9.327871372	156.377701	9.782271077	154.9208375	10.37002147	153.1767316	11.12708997	151.1093439	12.16711533	148.6801761	13.60349045	145.8290773	15.4897364	142.4807128	18.25228998	138.5143404	22.17503938	133.7328074	27.84719861	127.4663345	36.66204383	114.6380151	50.98385107	94.14201825	79.30001489	68.09689612	136.9910571	50.08038238	195.8203321	41.84230061	230.0495953	37.99130518	251.1540625	35.65389429	266.1379632	34.01299404	277.5099703	32.77354643	286.5486725
164.1904823	9.009724457	163.2213472	9.322801511	162.0525925	9.745161035	160.6471809	10.28820297	158.9715075	10.98338229	156.99162	11.8960528	154.6734275	13.19178723	151.9672147	14.87521788	148.805966	17.20992061	145.0935053	20.57982887	140.6756267	25.33685019	135.2944659	32.48957123	126.0192702	43.78443333	109.0028229	63.63709697	83.89636964	106.3567487	59.52334693	173.278116	46.67188752	220.2338985	40.98379863	246.953256	37.96085114	264.7605384	35.95840365	277.9394631	34.48985027	288.2009546
169.7968969	9.03046464	168.8545929	9.318171602	167.7218713	9.711627714	166.3659214	10.21466412	164.7535386	10.85505675	162.8556481	11.66765999	160.639231	12.82975849	158.0585398	14.34124614	155.0630847	16.32155944	151.5721404	19.24554337	147.4613029	23.28790594	142.5372875	29.08376369	136.0017794	38.16119085	122.3583666	52.9885637	100.6179774	82.41988037	72.8983168	142.3707905	53.59888316	204.7757132	44.74340365	240.3153786	40.6004736	261.9742984	38.10113071	277.3918954	36.33945174	289.1428565
